Industry,Sector,URL
AGRO,AGRI,/C13_MarketSummary.jsp?detail=INDUSTRY§or=AGRI&market=SET
AGRO,FOOD,/C13_MarketSummary.jsp?detail=INDUSTRY§or=FOOD&market=SET
CONSUMP,FASHION,/C13_MarketSummary.jsp?detail=INDUSTRY§or=FASHION&market=SET
CONSUMP,HOME,/C13_MarketSummary.jsp?detail=INDUSTRY§or=HOME&market=SET
CONSUMP,PERSON,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PERSON&market=SET
FINCIAL,BANK,/C13_MarketSummary.jsp?detail=INDUSTRY§or=BANK&market=SET
FINCIAL,FIN,/C13_MarketSummary.jsp?detail=INDUSTRY§or=FIN&market=SET
FINCIAL,INSUR,/C13_MarketSummary.jsp?detail=INDUSTRY§or=INSUR&market=SET
INDUS,AUTO,/C13_MarketSummary.jsp?detail=INDUSTRY§or=AUTO&market=SET
INDUS,IMM,/C13_MarketSummary.jsp?detail=INDUSTRY§or=IMM&market=SET
INDUS,PAPER,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PAPER&market=SET
INDUS,PETRO,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PETRO&market=SET
INDUS,PKG,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PKG&market=SET
INDUS,STEEL,/C13_MarketSummary.jsp?detail=INDUSTRY§or=STEEL&market=SET
PROPCON,CONMAT,/C13_MarketSummary.jsp?detail=INDUSTRY§or=CONMAT&market=SET
PROPCON,PROP,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PROP&market=SET
PROPCON,PF&REIT;,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PF%26REIT&market=SET
PROPCON,CONS,/C13_MarketSummary.jsp?detail=INDUSTRY§or=CONS&market=SET
RESOURC,ENERG,/C13_MarketSummary.jsp?detail=INDUSTRY§or=ENERG&market=SET
RESOURC,MINE,/C13_MarketSummary.jsp?detail=INDUSTRY§or=MINE&market=SET
SERVICE,COMM,/C13_MarketSummary.jsp?detail=INDUSTRY§or=COMM&market=SET
SERVICE,HELTH,/C13_MarketSummary.jsp?detail=INDUSTRY§or=HELTH&market=SET
SERVICE,MEDIA,/C13_MarketSummary.jsp?detail=INDUSTRY§or=MEDIA&market=SET
SERVICE,PROF,/C13_MarketSummary.jsp?detail=INDUSTRY§or=PROF&market=SET
SERVICE,TOURISM,/C13_MarketSummary.jsp?detail=INDUSTRY§or=TOURISM&market=SET
SERVICE,TRANS,/C13_MarketSummary.jsp?detail=INDUSTRY§or=TRANS&market=SET
TECH,ETRON,/C13_MarketSummary.jsp?detail=INDUSTRY§or=ETRON&market=SET
TECH,ICT,/C13_MarketSummary.jsp?detail=INDUSTRY§or=ICT&market=SET
